term,definition,url
12B-1 Fee,Gordon Scott has been an active investor and technical analyst or 20+ years. He is a Chartered Market Technician (CMT).,https://www.investopedia.com/terms/1/12b-1fees.asp
12B-1 Fund,A 12b-1 fund is a mutual fund that charges its holders a 12b-1 fee. A12b-1 feepays for a mutual fund’s distribution and marketing costs. It is often used as a commission to brokers for selling the fund.,https://www.investopedia.com/terms/1/12b-1-fund.asp
12B-1 Plan,"Charlene Rhinehart is a CPA , CFE, chair of an Illinois CPA Society committee, and has a degree in accounting and finance from DePaul University.",https://www.investopedia.com/terms/1/12b-1plan.asp
130-30 Strategy,Gordon Scott has been an active investor and technical analyst or 20+ years. He is a Chartered Market Technician (CMT).,https://www.investopedia.com/terms/1/130-30_strategy.asp
18-Hour City,"Economists and real estate investors use the term 18-hour city to describe a mid-size city with attractive amenities, higher-than-average population growth, and a lowercost of livingand cost of doing business than the biggest urban areas. The 18-hour city generally has a population of under one million, making it a second-tier city.",https://www.investopedia.com/terms/1/18hour-city.asp
183-Day Rule,Investopedia / Julie Bang,https://www.investopedia.com/terms/1/183-day-rule.asp
1979 Energy Crisis,"The 1979 energy crisis, thesecond of two oil price shocksin the '70s, resulted in a widespread panic about potential gasoline shortages, and far higher prices for bothcrude oiland refined products. Oil output declined by only 7% or less, but the short-term supply disruption led to a spike in prices, panic buying, and long lines at gas stations.",https://www.investopedia.com/terms/1/1979-energy-crisis.asp
2-1 Buydown,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/2-1_buydown.asp
"2-2-8 Adjustable-Rate Mortgage (2/28 ARM): Meaning, How It Works","Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/2/228arm.asp
"2000 Investor Limit: What It is, How It Works, Example","Charlene Rhinehart is a CPA , CFE, chair of an Illinois CPA Society committee, and has a degree in accounting and finance from DePaul University.",https://www.investopedia.com/terms/1/2000-investor-limit.asp
2011 U.S. Debt Ceiling Crisis: Meaning and Outcome,Bloomberg Creative Photos / Getty Images,https://www.investopedia.com/terms/1/2011-debt-ceiling-crisis.asp
"25% Rule: What it Means, How it Works, Rules","There are two common uses of the ""25% rule."" One uses it to refer to long-term government debt in relation to its annual budget, and the second is to determine intellectual property royalties.",https://www.investopedia.com/terms/1/25-percent-rule.asp
"3-2-1 Buydown Mortgage: Meaning, Pros and Cons, FAQs","Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/3-2-1_buydown.asp
3-6-3 Rule: Slang Term for How Banks Used to Operate,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/3_6_3_rule.asp
3/27 Adjustable-Rate Mortgage (ARM),Investopedia / Sydney Saporito,https://www.investopedia.com/terms/1/327arm.asp
3C1,Gordon Scott has been an active investor and technical analyst or 20+ years. He is a Chartered Market Technician (CMT).,https://www.investopedia.com/terms/1/3c1.asp
3(c)(7) Exemption: What It Is and How It Works,"Suzanne is a content marketer, writer, and fact-checker. She holds a Bachelor of Science in Finance degree from Bridgewater State University and helps develop content strategies.",https://www.investopedia.com/terms/1/3c7.asp
"3D Printing: What It Is, How It Works, Examples","Adam Hayes, Ph.D., CFA, is a financial writer with 15+ years Wall Street experience as a derivatives trader. Besides his extensive derivative trading expertise, Adam is an expert in economics and behavioral finance. Adam received his master's in economics from The New School for Social Research and his Ph.D. from the University of Wisconsin-Madison in sociology. He is a CFA charterholder as well as holding FINRA Series 7, 55 & 63 licenses. He currently researches and teaches economic sociology and the social studies of finance at the Hebrew University in Jerusalem.",https://www.investopedia.com/terms/1/3d-printing.asp
"3P Oil Reserves: What it Means, How it Works","3P oil reserves are the total amount of reserves that a company estimates having access to, calculated as the sum of allprovenandunprovenreserves. The 3Ps stand for proven, probable, and possible reserves.",https://www.investopedia.com/terms/1/3p.asp
"30-Year Treasury: Meaning, History, Examples","Katrina Ávila Munichiello is an experienced editor, writer, fact-checker, and proofreader with more than fourteen years of experience working with print and online publications.",https://www.investopedia.com/terms/1/30-yeartreasury.asp
"341 Meeting: What It Is, How It Works, Example","After you've filed for bankruptcy, there are several steps before the judge's decision. One of the first is the 341 meeting, or meeting of creditors. In this meeting, you'll meet with your case trustee and creditors to establish the facts of your case prior to appearing before a judge.",https://www.investopedia.com/terms/1/341-meeting.asp
"401(a) Plan: What It Is, Contribution Limits, and Withdrawal Rules","Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/401a-plan.asp
401(k) Plan,"Thomas J Catalano is a CFP and Registered Investment Adviser with the state of South Carolina, where he launched his own financial advisory firm in 2018. Thomas' experience gives him expertise in a variety of areas including investments, retirement, insurance, and financial planning.",https://www.investopedia.com/terms/1/401kplan.asp
403(b) Plan,"Andy Smith is a Certified Financial Planner (CFP®), licensed realtor and educator with over 35 years of diverse financial management experience. He is an expert on personal finance, corporate finance and real estate and has assisted thousands of clients in meeting their financial goals over his career.",https://www.investopedia.com/terms/1/403bplan.asp
"408(k) Plan: What it is, How it Works, Compared to 401(k)","The term 408(k) account refers to an employer-sponsored retirement savings plan. A 408(k) plan allows employees to put aside pretax dollars for retirement that grow on a tax-deferred basis, making it a type ofindividual retirement account (IRA). This means that individuals pay taxes when they make withdrawals after they turn 59½. The 408(k) is commonly referred to as asimplified employee pension (SEP)plan. In fact, it is the SEP version of the popular 401(k) plan.",https://www.investopedia.com/terms/1/408-k-plan.asp
412(i) Plan,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/412i.asp
457 Plan,"David is comprehensively experienced in many facets of financial and legal research and publishing. As an Investopedia fact checker since 2020, he has validated over 1,100 articles on a wide range of financial and investment topics.",https://www.investopedia.com/terms/1/457plan.asp
48-Hour Rule,"The 48-hour rule is a requirement that sellers ofto-be-announced(TBA)mortgage-backed securities(MBS) communicate all pool information regarding the MBS to buyers before 3 p.m. Eastern Time, 48 hours before the settlement date of the trade. TheSecurities Industry and Financial Markets Association(SIFMA) enforces this rule. SIFMA was formerly known as the Public Securities Association or Bond Market Association.",https://www.investopedia.com/terms/1/48-hour-rule.asp
5/1 Hybrid Adjustable-Rate Mortgage (5/1 Hybrid ARM),"A 5/1 hybridadjustable-rate mortgage(5/1 ARM) begins with an initial five-year fixed interest rate period, followed by a rate that adjusts on an annual basis. The “5” in the term refers to the number of years with a fixed rate, and the “1” refers to how often the rate adjusts after that (once per year). As such, monthly payments can go up—sometimes dramatically—after five years.",https://www.investopedia.com/terms/1/5-1_arm.asp
5-6 Hybrid Adjustable-Rate Mortgage (5-6 Hybrid ARM),"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/5-6_hybrid_arm.asp
500-Shareholder Threshold,The 500 shareholder threshold for investors is an outdated rule required by the Securities and Exchange Commission (SEC) that triggeredpublic reporting requirementsof a company when it reached that many or more distinct shareholders. Section 12(g) of theSecurities Exchange Act of 1934calls for issuers of securities to register with the SEC and begin public dissemination of financial information within 120 days of the end of a fiscal year.,https://www.investopedia.com/terms/5/500-shareholder-threshold.asp
501(c)(3) Organizations,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/501c3-organizations.asp
501(c),"Daniel Rathburn is an editor at Investopedia who works on tax, accounting, regulatory, and cryptocurrency content.",https://www.investopedia.com/terms/1/501c.asp
51% Attack,"Erika Rasure is globally-recognized as a leading consumer economics subject matter expert, researcher, and educator. She is a financial therapist and transformational coach, with a special interest in helping women learn how to invest.",https://www.investopedia.com/terms/1/51-attack.asp
52-Week High/Low,Gordon Scott has been an active investor and technical analyst or 20+ years. He is a Chartered Market Technician (CMT).,https://www.investopedia.com/terms/1/52weekhighlow.asp
52-Week Range,Gordon Scott has been an active investor and technical analyst or 20+ years. He is a Chartered Market Technician (CMT).,https://www.investopedia.com/terms/1/52-week-range.asp
529 Plan,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/529plan.asp
529 Savings Plan,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/529plan.asp
8-K (Form 8K),Investopedia / Julie Bang,https://www.investopedia.com/terms/1/8-k.asp
80-10-10 Mortgage,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/8/80_10_10_mortgage.asp
80-20 Rule,"Andy Smith is a Certified Financial Planner (CFP®), licensed realtor and educator with over 35 years of diverse financial management experience. He is an expert on personal finance, corporate finance and real estate and has assisted thousands of clients in meeting their financial goals over his career.",https://www.investopedia.com/terms/1/80-20-rule.asp
83(b) Election,"Julia Kagan is a financial/consumer journalist and former senior editor, personal finance, of Investopedia.",https://www.investopedia.com/terms/1/83b-election.asp
8(a) Firm,"An 8(a) firm is asmall businessthat is owned and operated by socially and economically disadvantaged citizens and that has been accepted into the 8(a) Business Development Program. This program is administered by theSmall Business Administration (SBA), the United States agency charged with supporting the growth and development of small businesses.﻿﻿ The 8(a) program is designed to help disadvantaged entrepreneurs get government contracts and access the economic mainstream in America.",https://www.investopedia.com/terms/1/8a-firm.asp
90-Day Letter,"Daniel Rathburn is an editor at Investopedia who works on tax, accounting, regulatory, and cryptocurrency content.",https://www.investopedia.com/terms/1/90dayletter.asp
90/10 Strategy,"Legendary investorWarren Buffettproposed the ""90/10"" strategy in his 2013 chairman's letter to Berkshire Hathaway shareholders. The strategy calls for putting 90% of one's investment capital into low-cost stock index funds and the remaining 10% in low-risk government bonds.",https://www.investopedia.com/terms/1/90-10-strategy.asp
