term,definition,url
Arrow's Impossibility Theorem,"Arrow's impossibility theorem is a social-choice paradox illustrating the flaws of ranked voting systems. It states that a clear order of preferences cannot be determined while adhering to mandatory principles of fair voting procedures. Arrow's impossibility theorem, named aftereconomistKenneth J. Arrow, is also known as the general impossibility theorem.",https://www.investopedia.com/terms/a/arrows-impossibility-theorem.asp
Ascending Triangle,An ascending triangle is a chart pattern used intechnical analysis. It is created by price moves that allow for a horizontal line to be drawn along theswing highsand a rising trendline to be drawn along the swing lows. The two lines form a triangle. Traders often watch forbreakoutsfrom triangle patterns. The breakout can occur to the upside or downside.,https://www.investopedia.com/terms/a/ascendingtriangle.asp
Asia-Pacific Economic Cooperation (APEC),"The Asia-Pacific Economic Cooperation (APEC) is an economic group of 21 members, formed in 1989, with the primary goal of promoting free trade and sustainable development in thePacific Rimeconomies.",https://www.investopedia.com/terms/a/asiapacific-economic-cooperation-apec.asp
Asian Infrastructure Investment Bank (AIIB),"The Asian Infrastructure Investment Bank (AIIB) is a multilateral development bank that provides financing for infrastructure projects in Asia. Like other development banks, its mission is to improve social and economic outcomes in its region, Asia, and beyond. It has 106 member countries and $100 billion of capitalization, as of 2023.",https://www.investopedia.com/terms/a/asian-infrastructure-investment-bank-aiib.asp
Asset,"An asset is a resource witheconomic valuethat an individual, company, or country owns or controls with the expectation that it will provide a future benefit.",https://www.investopedia.com/terms/a/asset.asp
Asset Allocation,"Asset allocation is how investors divide their portfolios among different assets that might include equities, fixed-income assets, and cash and its equivalents. Investors ordinarily aim to balance risks and rewards based on financial goals, risk tolerance, and the investment horizon.",https://www.investopedia.com/terms/a/assetallocation.asp
Asset-Backed Commercial Paper (ABCP),An asset-backed commercial paper (ABCP) is a short-term investment vehicle with amaturity datethat is typically between 90 and 270 days. A bank or other financial institution typically issues the security itself. The notes are backed by the company's physical assets such as trade receivables. Companies will use an asset-backed commercial paper to fund short-term financing needs.,https://www.investopedia.com/terms/a/asset_backed_commercial_paper.asp
Asset Protection,Asset protection is the adoption of strategies to guard one's wealth. Asset protection is a component of financial planning intended to protect one's assets fromcreditorclaims. Individuals and business entities use asset protection techniques to limit creditors' access to certain valuable assets while operating within the bounds of debtor-creditor law.,https://www.investopedia.com/terms/a/asset-protection.asp
Asymmetric Information,Asymmetric information occurs when one party to an economic transaction possesses greater material knowledge than the other party.,https://www.investopedia.com/terms/a/asymmetricinformation.asp
At Par,"The term ""at par"" means atface value. A bond, preferred stock, or other debt instrument may trade at par,below par, orabove par.",https://www.investopedia.com/terms/a/at-par.asp
At The Money,"At the money (ATM) is a situation where an option'sstrike priceis identical to the current market price of theunderlying security. An ATM option has a delta of ±0.50, positive if it is a call, negative for a put.",https://www.investopedia.com/terms/a/atthemoney.asp
Attribution Analysis,"Attribution analysis is a sophisticated method for evaluating the performance of a portfolio or fund manager. Also known as “return attribution” or “performance attribution,” it attempts to quantitatively analyze aspects of an active fund manager’s investment selections and decisions—and to identify sources of excess returns, especially as compared to anindexor other benchmark.",https://www.investopedia.com/terms/a/attribution-analysis.asp
Auction Market,"In an auction market, buyers entercompetitive bidsand sellers submit competitive offers at the same time. The price at which astock tradesrepresents the highest price that a buyer is willing to pay and the lowest price that a seller is willing to accept. Matching bids and offers are then paired together, and the orders are executed. TheNew York Stock Exchange (NYSE)is an example of an auction market.",https://www.investopedia.com/terms/a/auctionmarket.asp
Auditor,An auditor is a professional authorized to examine and confirm the accuracy of financial records to ensure that companies comply with laws and regulations.,https://www.investopedia.com/terms/a/auditor.asp
Autarky,Autarky refers to a nation that operates in a state of self-reliance. Nations that follow a policy of autarky are characterized by self-sufficiency and limited trade with global partners.,https://www.investopedia.com/terms/a/autarky.asp
Authorized Stock,"Authorized stock, or authorized shares, refers to the maximum number of shares that a corporation is legally permitted to issue, as specified in its articles of incorporation in the U.S., or in the company's charter in other parts of the world. It is also usually listed in the capital accounts section of the balance sheet. Authorized shares should not be confused with outstanding shares, which are the number of shares the corporation has actually issued that are held by the public.",https://www.investopedia.com/terms/a/authorizedstock.asp
Autocorrelation,Autocorrelation is the degree of similarity of a variable between two successive time intervals.,https://www.investopedia.com/terms/a/autocorrelation.asp
Automatic Stabilizer,"Automatic stabilizers are a type offiscal policydesigned to offset fluctuations in a nation's economic activity through their normal operation without additional, timely authorization by the government or policymakers.",https://www.investopedia.com/terms/a/automaticstabilizer.asp
Autonomous Expenditure,"An autonomous expenditure describes the components of an economy's aggregate expenditure that are not impacted by that same economy's real level of income. This type of spending is considered automatic and necessary, whether occurring at the government level or the individual level. The classical economic theory states that any rise in autonomous expenditures will create at least an equivalent rise in aggregate output, such as GDP, if not a greater increase.",https://www.investopedia.com/terms/a/autonomousexpenditure.asp
Average Cost Basis,The average cost basis method is a system of calculating the value ofmutual fundpositions held in a taxable account. It determines the profit or loss for tax reporting.Cost basisrepresents the initial value of a security or mutual fund that an investor owns.,https://www.investopedia.com/terms/a/averagecostbasismethod.asp
Average Cost Method,Average cost method assigns a cost to inventory items based on the total cost of goods purchased or produced in a period divided by the total number of items purchased or produced. Average cost method is also known as weighted-average method.,https://www.investopedia.com/terms/a/averagecostmethod.asp
Average Directional Index (ADX),The average directional index (ADX) is atechnical analysis indicatorused by some traders to determine the strength of atrend.,https://www.investopedia.com/terms/a/adx.asp
Average Return,"The average return is the simple mathematical average of a series ofreturnsgenerated over a specified period of time. An average return is calculated the same way that a simple average is calculated for any set of numbers. The numbers are added together into a single sum, then the sum is divided by the count of the numbers in the set.",https://www.investopedia.com/terms/a/averagereturn.asp
Average Selling Price (ASP),"The term average selling price (ASP) refers to the price at which a certain class of good or service is typically sold. The average selling price is affected by the type of product and theproduct life cycle. The ASP is the average selling price of the product across multipledistribution channels, across a product category within a company, or even across the market as a whole.",https://www.investopedia.com/terms/a/averagesellingprice.asp
Baby Boomer,"“Baby boomer” is a term used to describe those who were born from 1946 to 1964. They formed the largest generational group in U.S. history until the millennial generation slightly surpassed them. The baby boomer generation makes up a substantial portion of the world’s population, especially in developed nations.",https://www.investopedia.com/terms/b/baby_boomer.asp
Back-End Ratio,"The back-end ratio, also known as thedebt-to-income ratio, is a ratio that indicates what portion of a person's monthly income goes toward paying debts. Total monthly debt includes expenses, such as mortgage payments (principal, interest, taxes, and insurance), credit card payments, child support, and other loan payments.",https://www.investopedia.com/terms/b/back-endratio.asp
Backlog,"A backlog is a buildup of work that needs to be completed. The term ""backlog"" has a number of uses in accounting and finance. It may, for example, refer to a company's sales orders waiting to be filled or a stack of financial paperwork, such as loan applications, that needs to be processed.",https://www.investopedia.com/terms/b/backlog.asp
Backorder,"A backorder is an order for a good or service that cannot be filled at the current time due to a lack of available supply. The item may not be held in the company's available inventory but could still be in production, or the company may need to still manufacture more of the product. Backorders are an indication that demand for a company's product outweighs its supply. They may also be known as the company'sbacklog.",https://www.investopedia.com/terms/b/backorder.asp
Bad Debt,"Bad debt is an amount of money that a creditor must write off if a borrower defaults on a loan. If a creditor has a bad debt on the books, it becomes uncollectible and is recorded as a charge-off.",https://www.investopedia.com/terms/b/baddebt.asp
Bad Debt Expense,"A bad debt expense is recognized when a receivable is no longer collectible because a customer is unable to fulfill their obligation to pay an outstanding debt due to bankruptcy or other financial problems. Companies that extend credit to their customers report bad debts as an allowance for doubtful accounts on thebalance sheet, which is also known as a provision for credit losses.",https://www.investopedia.com/terms/b/bad-debt-expense.asp
Bag Holder,"A bag holder is an informal term used to describe an investor who holds a position in asecuritythat decreases in value until it descends into worthlessness. In most cases, the bag holder stubbornly retains their holding for an extended period, during which time the value of the investment goes to zero.",https://www.investopedia.com/terms/b/bag-holder.asp
Balance of Trade (BOT),Balance of trade (BOT) is the difference between the value of a country'sexportsand the value of a country's imports for a given period. Balance of trade is the largest component of a country'sbalance of payments(BOP). Sometimes the balance of trade between a country's goods and the balance of trade between its services are distinguished as two separate figures.,https://www.investopedia.com/terms/b/bot.asp
Balanced Fund,"A balanced fund is amutual fundthat typically contains a component of stocks and bonds. A mutual fund is a basket of securities in which investors can purchase. Typically, balanced funds stick to a fixedasset allocationof stocks and bonds, such as 70% stocks and 30%bonds. Bonds are debt instruments that usually pay a stable, fixed rate of return.",https://www.investopedia.com/terms/b/balancedfund.asp
Balloon Payment,"A balloon payment is the final amount due on a loan that is structured as a series of small monthly payments followed by a single much larger sum at the end of the loan period. The early payments may be all or almost all payments of interest owed on the loan, with the balloon payment being the principal of the loan. This type of loan is known as a balloon loan.",https://www.investopedia.com/terms/b/balloon-payment.asp
Bandwagon Effect,"The bandwagon effect is a psychological phenomenon in which people do something primarily because other people are doing it, regardless of their own beliefs, which they may ignore or override. This tendency of people to align their beliefs and behaviors with those of a group is also called a herd mentality.",https://www.investopedia.com/terms/b/bandwagon-effect.asp
Bank,"A bank is a financial institution that is licensed to accept checking and savings deposits and make loans. Banks also provide related services such as individual retirement accounts (IRAs), certificates of deposit (CDs), currency exchange,personal loans, and safe deposit boxes.",https://www.investopedia.com/terms/b/bank.asp
Bank Bill Swap Rate (BBSW),"The Bank Bill Swap Rate (BBSW), or Bank Bill Swap Reference Rate, is a short-term interest rate used as a benchmark for the pricing of Australian dollar derivatives and securities—most notably, floating rate bonds.",https://www.investopedia.com/terms/b/bank-bill-swap-rate-bbsw.asp
Bank Credit,"Bank credit is the amount of credit available to a business or individual from a banking institution in the form of loans. Bank credit, therefore, is the total amount of money a person or business can borrow from a bank or otherfinancial institution.",https://www.investopedia.com/terms/b/bank-credit.asp
Banker's Acceptance,A banker's acceptance (BA) is a negotiable piece of paper that functions like a post-dated check. A bank rather than an account holder guarantees the payment. Banker's acceptances are also known asbills of exchange. They're used by companies as a relatively safe form of payment for large transactions.,https://www.investopedia.com/terms/b/bankersacceptance.asp
Bank Reconciliation,"A bank reconciliation statement is a document used to determine the accuracy of financial accounts and accounting records. Bank reconciliation statements are used by companies, auditors, and accountants to detect errors or omissions between accounting records andbank accountbalances. They ensure that internal records are accurate and help identify and prevent fraud and losses.",https://www.investopedia.com/terms/b/bankreconciliation.asp
Bankruptcy,Bankruptcy is a legal process for relieving debt that the borrower cannot repay. It’s a measure of last resort that typically requires liquidating assets or entering a repayment plan.,https://www.investopedia.com/terms/b/bankruptcy.asp
Baptism by Fire,"""Baptism by fire"" is a phrase commonly used to describe a person or employee who is learning something the hard way through a challenge or difficulty.",https://www.investopedia.com/terms/b/baptism-by-fire.asp
Bar Chart,"Bar charts consist of multiple price bars, with each bar illustrating how the price of an asset or security moved over a specified time period. Each bar typically showsopening, high, low, and closing(OHLC) prices, although this may be adjusted to show only the high, low, andclose (HLC).",https://www.investopedia.com/terms/b/barchart.asp
Barter,"Barter is an act of trading goods or services between two or more parties without the use of money —or a monetary medium, such as acredit card. In essence, bartering involves the provision of one good or service by one party in return for another good or service from another party.",https://www.investopedia.com/terms/b/barter.asp
Basel I,"Basel I is a set of international banking regulations established by theBasel Committee on Banking Supervision (BCBS). It prescribes minimum capital requirements for financial institutions, with the goal of minimizing credit risk.Under Basel I, banks that operate internationally were required to maintain at least a minimum amount of capital (8%) based on their risk-weighted assets.Basel I is the first of three sets of regulations known individually as Basel I, II, and III, and collectively as theBasel Accords.",https://www.investopedia.com/terms/b/basel_i.asp
Basel III,Basel III is an international regulatory accord for reforms designed to mitigate risk within the international banking sector by requiring banks to have more capital on hand.,https://www.investopedia.com/terms/b/basell-iii.asp
Basis Risk,"Basis risk is the financial risk that offsetting investments in a hedging strategy will not experienceprice changesin entirely opposite directions from each other. This imperfect correlation between the two investments creates the potential for excess gains or losses in a hedging strategy, thus adding risk to the position.",https://www.investopedia.com/terms/b/basisrisk.asp
Basket Trade,A basket trade is a type of order used by investment firms and big institutional traders to buy or sell a group ofsecuritiessimultaneously.,https://www.investopedia.com/terms/b/baskettrade.asp
Bear Market,"A bear market is a financial market experiencing prolonged price declines, generally of 20% or more. A bear market usually occurs along with widespread investor pessimism, large-scale liquidation of securities and other assets, and a weakening economy.",https://www.investopedia.com/terms/b/bearmarket.asp
Bear Spread,A bear spread is anoptionsstrategy used when one is mildly bearish and wants to maximize profit while minimizing losses. The goal is to net the investor a profit when the price of theunderlying securitydeclines. The strategy involves the simultaneous purchase and sale of either puts or calls for the same underlying contract with the same expiration date but at differentstrike prices.,https://www.investopedia.com/terms/b/bearspread.asp
Bearer Share,"A bearer share is equity security wholly owned by the person or entity that holds the physicalstock certificate, thus the name ""bearer"" share. The issuing firm neither registers the owner of the stock nor tracks transfers of ownership; the company disperses dividends to bearer shares when a physicalcouponis presented to the firm. Because the share is not registered to any authority, transferring the ownership of the stock involves only delivering the physical document.",https://www.investopedia.com/terms/b/bearer_share.asp
Bearish Engulfing Pattern,"In technical analysis, the bearish engulfing pattern is a chart pattern that can signal a reversal in an upward price trend. Comprising two consecutive candles, the pattern features a smaller bullish candle followed by a larger bearish candle that engulfs the first. This formation is considered a strong indicator that the prior upward momentum is waning and a reversal is on the horizon.",https://www.investopedia.com/terms/b/bearishengulfingp.asp
Behavioral Economics,"Behavioral economics is the study of psychology as it relates to the economic decision-making processes of individuals and institutions. Behavioral economics is often related withnormative economics. It draws on psychology and economics to explore why people sometimes make irrational decisions, and why and how behavior diverges from the predictions of economic models.",https://www.investopedia.com/terms/b/behavioraleconomics.asp
Benchmark,"A benchmark is a standard that is used to measure the change in an asset's value or another metric over time. In investing, benchmarks are used as a reference point for the performance of securities, mutual funds, exchange-traded funds, portfolios, or other financial instruments.",https://www.investopedia.com/terms/b/benchmark.asp
Berkshire Hathaway,"Berkshire Hathaway is a holding company for a multitude of businesses, including GEICO and Fruit of the Loom. It's run by chair and CEOWarren Buffett. Berkshire Hathaway is headquartered in Omaha, Nebraska.",https://www.investopedia.com/terms/b/berkshire-hathaway.asp
Best Endeavors,"Best endeavors is a phrase commonly found in commercial contracts that places an obligation on the identified party to use all efforts necessary to fulfill the terms set out. A best endeavors policy places a party under a stricter obligation compared to a reasonable endeavors obligation. It is equivalent to best efforts, a term widely used insecuritiesmarkets and preferred in most commercial contracts signed in the United States.",https://www.investopedia.com/terms/b/best-endeavors.asp
Bid,"The term ""bid"" refers to an offer made by an individual or entity to purchase an asset.",https://www.investopedia.com/terms/b/bid.asp
Bid-Ask Spread,A bid-ask spread is the amount by which the ask price exceeds the bid price for anassetin the market. The bid-ask spread is essentially the difference between the highest price that a buyer is willing to pay for an asset and the lowest price that aselleris willing to accept. An individual looking to sell will receive the bid price while one looking to buy will pay the ask price.,https://www.investopedia.com/terms/b/bid-askspread.asp
Bid Size,"The bid size represents the quantity of a security that investors are willing to purchase at a specifiedbid price. For most investors who viewlevel 1 quoteson their trading screens, the bid size represents theamount of sharesthat investors are willing to purchase at the best available bid price.",https://www.investopedia.com/terms/b/bidsize.asp
Bill of Exchange,A bill of exchange is similar to an invoice presented when goods or services are exchanged.,https://www.investopedia.com/terms/b/billofexchange.asp
Bill of Lading,"Global trade is becoming increasingly seamless. The standardization of the bill of lading, which is part receipt, part contract, and part proof of ownership, is a key element in why this is the case.",https://www.investopedia.com/terms/b/billoflading.asp
Bird In Hand,"The bird in hand is a theory that says investors prefer dividends from stock investing to potentialcapital gainsbecause of the inherent uncertainty associated with capital gains. Based on the adage, ""a bird in the hand is worth two in the bush,"" the bird-in-hand theory states that investors prefer the certainty of dividend payments to the possibility of substantially higher future capital gains.",https://www.investopedia.com/terms/b/bird-in-hand.asp
Bitcoin,"Bitcoin (BTC) is a cryptocurrency (a virtual currency) designed to act as money and a form of payment outside the control of any one person, group, or entity. This removes the need for trusted third-party involvement (e.g., a mint or bank) in financial transactions.",https://www.investopedia.com/terms/b/bitcoin.asp
Bitcoin Mining,"Bitcoin mining is a network-wide competition to generate a cryptographic solution that matches specific criteria. When a correct solution is reached, a reward in the form of bitcoin and fees for the work done is given to the miner(s) who reached the solution first.",https://www.investopedia.com/terms/b/bitcoin-mining.asp
Blockchain-as-a-Service (BaaS),"Blockchain-as-a-service (BaaS) is the third-party creation and management of cloud-based networks for companies that build blockchain applications. These third-party services are a relatively new development in the growing field of blockchain technology. The application of blockchain technology has moved well beyond its best-known use in cryptocurrency transactions and has broadened to address secure transactions of all kinds. As a result, there is a demand for hosting services.",https://www.investopedia.com/terms/b/blockchainasaservice-baas.asp
