term,definition
After-Hours Trading (AHT),"After-hours trading (AHT), also known as extended hours trading, is the buying and selling of securities after the major markets have closed. This kind of trading around the clock has been made possible by electronic communication networks (ECNs), which allow direct trading to be done digitally – and even anonymously – without brokers."
AgDevCo,"The Africa Agriculture Development Company (AgDevCo) is a company that invests equity and debt in African agriculture and business. This is done in order to boost prosperity, create jobs and improve food security in developing African countries."
Agency security,Agency securities are debt obligations that are issued by federal and US government-related bodies. These particular securities are considered low risk as they receive credit protection based on explicit and implicit guarantees from the US government.
Agricultural Bank of China,"The Agricultural Bank of China, or ABC as it’s known for short, is one of the biggest banks in the world. Founded in 1951, it has its headquarters in Beijing, with branches scattered throughout China. It also has sites in London, New York, Frankfurt, Sydney and Tokyo."
Alaska Permanent Fund Dividend,"The Alaska Permanent Fund Dividend is a yearly sum of money paid to residents of Alaska that have lived in the state for a full year, and intend to continue as a resident of Alaska indefinitely."
Alberta Heritage Savings Trust Fund,"Alberta Heritage Savings Trust Fund (AHSTF) is a trust fund which looks after the savings from the resources of Alberta, Canada. It was created in 1976 by Alberta Premier Peter Lougheed, with the intention to save for the future, strengthen the economy and improve the quality of life of residents."
Alerts,Email alerts allow you to tailor the information you need to stay up to date with your investments and be notified about significant events that might affect share prices. Making investment decisions based on topical information is crucial when it comes to managing your portfolio.
Algorithmic trading,"Algorithmic trading is a way to process trading orders using preprogrammed and automated trading instructions for several variables including volume, price and timing."
Ali Rahmani,"Dr. Ali Rahmani is the Managing Director of the Tehran Stock Exchange Company, based in the capital city of Iran. Dr. Rahmani was the first person to be appointed as the Managing Director of the company after it was demutualized (converted into a company owned by shareholders) in 2006."
All in method,"It's a strategy used by private equity firms to evaluate and raise the capital for potential investments. In the all in method, all members of the firm openly discuss the benefits and potential pitfalls of an investment opportunity, rather than there being one specific champion or lead."
Alpha,"What is alpha? Alpha is a risk ratio that describes the return on investment of an asset such as a share or bond in relation to the general market. It uses a benchmark index such as the Standard & Poor’s 500 to compare the past performance of an investment, usually based on the growth of earnings per share."
Alpha generation platform,"An alpha generation platform is an algorithmic trading technology used to develop trading strategies or quantitative financial models that generate absolute returns or consistent alpha. These financial platforms are mainly used by banks, hedge funds and CTAs to aid the testing and development of quantitative trading strategies."
Altcoins,Altcoins are a relatively new asset in the financial landscape. The term is shorthand for alternative coins.
Alternative asset,"It is a non-traditional financial asset that can provide any sort of economic value. Bonds, equity shares and cash are all considered traditional financial assets, whereas art, real estate, commodities and private equity are among examples which would be considered alternative assets."
Alternative display facility,"This trading facility was created in the United States by the Financial Industry Regulatory Authority (FINRA) as an alternative to the stock exchange, used for publishing quotations and for comparing and reporting trades."
Alternative energy indexes,These are global stock indexes which summarise the achievements of the 30 biggest companies in the renewable energy industry. The potential for this sector is growing due to the ongoing awareness and interest in global warming and the decrease in oil reserves.
Alternative Investment Fund Managers (AIFM) Directive 2011,"The Alternative Investment Fund Managers (AIFM) Directive 2011 is a European Union directive providing for the regulation of hedge funds, private equity companies, property investment funds and other non-mainstream investment vehicles. It requires such companies to seek authorisation, the first time such a requirement had been imposed at EU level."
Alternative public offering,An alternative public offering is when a reverse merger is combined with a private investment of public equity. It offers companies a substitute for an initial public offering (IPO).
Alternative trading system,"An alternative trading system (ATS) is a non-exchange trading venue that matches buyers and sellers for transactions. Contrary to traditional stock exchanges, it's regulated as a broker-dealer instead of an exchange."
Alternext,"Alternext is an equity trading market opened by Euronext for small to medium-sized firms in Belgium, France and the Netherlands. It's also known by the name NYSE Alternext."
Altman Z-score,"The Altman Z-score is a formula that is designed to predict the likelihood, or otherwise, of a publicly-quoted manufacturing company becoming insolvent. It was devised by a professor of finance, Edward Altman, in 1967 and was published the following year."
American depositary receipts (ADRs),How do you define ADR? An American depositary receipts meaning is a negotiable security instrument that is issued by a US depositary bank and represents a specified number of shares in a foreign company’s stock.
American National Standards Institute (ANSI),ANSI stands for the American National Standards Institute. The organisation oversees the development and administration of the US voluntary standards and conformity assessment system.
Amex Composite Index,"The Amex Composite Index is an index made up of the equities quoted on the NYSE Amex market, formerly known as the American Stock Exchange, which is located in New York. It is not connected with the American Express financial services company, also sometimes abbreviated to Amex."
Amex Gold Miners Index,The Amex Gold Miners Index comprises the companies quoted on the NYSE Amex market - formerly the American Stock Exchange - that are primarily involved in the mining of gold or silver. It was launched at the close of trading on 20 December 2002.
Amex Volatility Index,"The Amex Volatility Index is a measure of the implied volatility of a hypothetical at-the-money QQQQ (US Tech 100 Index) option, expressed as an annual standard deviation of returns. It is used as a measure of trader sentiment regarding the future volatility of the index."
Amortised Bond,To understand what an amortised bond means you need to know what a bond is. A bond is a type of debt instrument or loan agreement between the issuer and holder. This loan encompasses two elements: principal and interest. An amortised bond can be explained as a bond that carries repayment of interest and the principal amount.
AMX index (Midcap),"The AMX index (Midcap) is an index of medium-sized companies traded on the Amsterdam Stock Exchange, now known as Euronext Amsterdam. It comprises those firms ranked 26-50 in terms of market capitalisation and is used as a health check for that sector of the market."
Ancillary Revenue,Ancillary revenue means income generated from a service or product line that is not the company’s core business. Let’s dive a little more into ancillary revenue definition and how it can be calculated.
Angel Investor,"An angel investor is an affluent person who invests in small start-up businesses to help them get off the ground. Angel investors typically invest their own money, either through a one-time investment or ongoing support, in exchange for ownership equity or convertible debt."
Anglo-Swedish Literary Foundation,This is an organisation that provides monetary grants to translators and students. The aim of the foundation is to promote cultural relations between Britain and Sweden.
Animal spirits,"Derived from the Latin spiritus animalis, meaning “the breath that awakens the human mind”, the term animal spirits refers to the state of pessimism or confidence held by businesses and consumers. Future expectations have a direct impact on decisions made today. Consumers decide how much they are willing to save or spend, while businesses consider making capital investments."
Annual equivalent rate (AER),The annual equivalent rate (AER) is a re-calculation of the rate of interest on a loan or other debt product to give the figure as it would be if it were calculated annually. This is valuable for consumers with debts where interest is worked out monthly or quarterly.
Annual general meeting (AGM),"As the name implies, the annual general meeting (AGM) is the once-a-year gathering of a company’s shareholders. Company law in most jurisdictions will make such an event mandatory in one form or another, although there is considerable variation as to how the meeting is to be conducted."
Annual percentage rate (APR),"The annual percentage rate (APR) is a number that represents the total yearly cost of borrowing money, expressed as a percentage of the principal loan amount."
Annual Percentage Yield,What is APY? The annual percentage yield (APY) is a normalised rate of return on an investment calculated on the compounding period of one year. It’s the return received annually.
Annual total return,"The annual total return is a measure of the performance of an asset, usually a share or bond, over a period of time, usually several years. Expressed as an annual average, it allows the return to be measured against returns produced by other assets over the same time-scale."
Annualized loss expectancy,This is the loss that can be expected for an asset due to risk over a one-year period. It's useful for working out whether a business decision is worthwhile.
Annuities,"An annuity is essentially a financial contract where the provider, in return for a sum of money paid now, will guarantee the annuity-holder a fixed income for the rest of their life, usually paid monthly. This has made annuities especially suitable as a form of pension provision."
Appreciation,"Appreciation is basically when an asset gains in value over time. The asset in question can be a share, bond or commodity or it can be a physical asset such as real estate. It is the opposite of depreciation, when an asset’s value declines."
Arab Monetary Fund (AMF),"To put it simply, a monetary fund refers to money that’s been kept for a specific purpose."
Arbitrage,"Arbitrage is a trading strategy. The goal is to generate profit from slight differences in price between similar, or identical, assets. Normally, it involves buying an asset from one place, before immediately selling it somewhere else, usually where it's selling at a higher price."
Arbitrage betting,"This is a technique used by gamblers who bet on all possible outcomes. It's mostly used for sporting events where there are only two potential results, for example a tennis match where one of two players must win."
Arbitrage pricing theory,This is a way of estimating the price of an asset. It’s based on the idea that returns can be predicted if you look at a number of common risk factors.
Articles of incorporation,Articles of incorporation are filed with US states to officially register a corporation. Memorandum of association is the equivalent in the UK.
AScX index (Small Cap),"This is a stock market index made up of 25 funds that trade on Euronext Amsterdam, previously known as the Amsterdam Stock Exchange."
Ask Price,"The ask price is like the reserve price at an auction: it's basically a price that someone has agreed to sell a security for. It differs from the bid price, which is basically the price a buyer is happy to pay for a security."
Asset,"An asset is anything you own that you expect to make or save you money in the future. It can be owned by a company, an organisation or an individual. In other words, an asset represents the value of ownership that can be converted into cash."
Asset allocation,"Asset allocation describes what an investor or investment manager does when they choose which assets to include in a portfolio and, equally importantly, in what proportion. These can be traditional assets, such as stocks and bonds, or alternative assets, such as anything from commodities, currencies and real-estate to fine wines, art and vintage cars. The choices made will reflect the investment strategy of the person concerned."
Asset backed security,"This is a security backed by a loan, lease, or other debt as collateral. It’s the same as a mortgage-backed security except that it's backed by other types of debt instead of mortgages."
Asset Classes,"Asset classes are groups of financial assets, such as shares or bonds, which have been classed together because of their common characteristics. For example, shares usually pay variable dividends, while bonds produce a fixed income. A balanced portfolio will contain various different asset classes as an aid to diversification."
Asset purchase,"This is an agreement between a buyer and seller to acquire a company’s assets. The buyer can cherry pick which assets it wants and leave the rest behind. Assets can be both tangible, such as offices and equipment, and intangible, such as intellectual property and corporate name."
Asset purchase agreement (APA),An asset purchase agreement (APA) is used when buying or selling a business to finalise the terms of buying a company's assets. A stock purchase agreement (SPA) is used when company shares are being bought and sold.
Asset stripping,"Asset stripping is what happens when a company is bought not as a going concern but simply for the profit that can be made on the sale of its assets. These can take the form of land, machinery, property, inventory and securities but also intellectual property such as patents or licences."
Asset Valuation,The asset valuation definition describes it as a process of calculating the fair market value of a company’s assets. The assets are divided into two types: tangible assets and intangible assets.
Asset-backed commercial paper program,This is a way of offering low-cost financing to companies that would not otherwise be able to borrow in the commercial paper markets. Asset-backed commercial paper is a form of short-term borrowing issued by a bank or other financial institution.
Asset-backed securities index,This is a tool to measure the overall exposure of subprime mortgage loans given to people with poor credit ratings. It allows institutions to calculate whether the total value of such loans is going up or down.
Asset-based approach,"It's a way of determining the value of a business. It's calculated by subtracting a company's total liabilities from its net asset value (NAV), or the fair market value of the company's total assets. It's often used to evaluate a business that is preparing for liquidation."
Asset-based lending,"Asset-based lending allows businesses and companies to use assets (like property, inventory, equipment or accounts receivables) as collateral for a loan. If the company defaults on the loan, the lender can claim the asset to try and recoup their costs, so the interest rates can be lower than on unsecured credit lines."
Assets under management (AUM),"Sometimes called AUM for short, it refers to the financial assets that an investment company or bank manages on behalf of investors. It’s basically a term used to describe how much of other people’s money somebody else controls."
Associated Press,"It's an independent news agency based in New York. It operates news, TV, radio and photography services in many countries worldwide."
Association of the Luxembourg Fund Industry,"This is the body that represents the investment fund industry of Luxembourg. As well as investment funds, it also represents other companies including banks, asset managers, tax advisers and accounting firms."
Assurance contract,"This is a deal which involves a group of people or organisations pledging to contribute to a project or action. It may be enforced by a government, or a private organisation."
Athex 20,This was a stock index of the 20 largest companies on the Athens Stock Exchange. It was expanded in 2012 to include 25 stocks and again in 2017 to consist of 26 members.
Attitude to Risk,Choosing the right investments means balancing how much you are prepared to lose with how much you hope to earn.
Auction process,"During an auction, prospective buyers bid competitively for an asset or service, with the sale going to the best bid. The process varies depending on the type of auction used, though in general, sellers pay a fee to be listed and then invite buyers to bid, evaluate their offers and then choose the best deal."
Audited account,"When the financial results which a company compiles have been checked by an accountant qualified to conduct an audit, known as an auditor, they are known as audited accounts. If all is well, the auditor will state that the accounts give a ""true and fair"" picture of the company's affairs."
Auditor,"What is an auditor? It is someone qualified to produce a set of audited company accounts. Usually an accountant by profession, an auditor will be expected to scrutinise the numbers that have been presented by the company’s management and to raise questions where there are concerns of any kind."
Australian Securities Exchange,"Based in Sydney, the Australian Securities Exchange (ASX) is the main stock exchange in Australia. Although most people still call it the Australian Stock Exchange, it merged with the Sydney Futures Exchange in 2006, hence the current name."
Automated Market-Making (AMM),"To understand AMM meaning or how automated market-making (AMM) works, it’s essential first to  grasp the concept of traditional market making, which is the process of quoting two-sided markets in a security, and providing bids and offers to ensure the liquidity of an asset."
Automated Trading,Automated trading is the trading of assets using programmable instructions.
Automated Valuation Model (AVM),Automated valuation models (AVM) are software-based pricing models used to value real estate. Automated valuation models use statistical modelling techniques with databases of existing properties and completed transactions. In this article we will define AVM and learn how an automated valuation model works.
Average accounting return,"This is a way of estimating the value of a project. To calculate it, you would divide its average earnings by the average amount invested."
Average accounts receivable,"Average accounts receivable describes the figure arrived at by looking at the credit extended by a company and the average amount due at any one time. These debts will fall due at different times over the course of a year, so the figure for average accounts receivable is used to smooth out any distortions."
Average Daily Trading Volume,"Simply the average number of shares traded in a day during a certain period of time, typically a month or year. You can compare the current trading volume with the average volume to determine whether the volume is particularly high or low."
Average Price,"In instances where you’ve got a range of different prices, it can be useful to simplify the numbers into one single value. Average price is a key calculation when buying goods or services, and investors use it to see how profitable their stocks and bonds are."
Average propensity to consume,"This is the proportion of income that households spend on goods and services, rather than savings. It's calculated by dividing spending by income."
Average propensity to save,"This is the proportion of income that a household puts into savings. It's sometimes called the savings ratio, and is expressed as a percentage of a household's total disposable income."
Averaging Down,"Averaging down is when additional shares which have dropped in price are purchased in order to reduce the average cost.

For example, you buy 500 shares at £10 per share, but the stock drops to £6. You then buy another 500 shares at £6 per share, which lowers the average price to £8 a share."
B (credit rating),"A credit rating given to a prospective borrower that's not of investment grade Sometimes known as a B2 rating, it suggests a company or government is able to meet its financial commitments but may be left highly exposed to adverse economic conditions."
Bagholder,"A bagholder is financial slang for a person whose stocks decrease in value up until they are worthless. Commonly, this person will be in this position for an extended period of time as the stock continually loses its value."
Balance Sheet,"In accounting, the balance sheet definition refers to the financial statement that reports the financial position of a company, detailing its assets, liabilities and shareholders’ equity at a particular point in time.

Simply put, a balance sheet meaning can be compared to a school report: it gives investors an overview of a company’s performance at a specific moment in time, illustrating the business' net worth.

Along with the income statement and statement of cash flows, a balance sheet is one of the three core financial statements prepared by a company’s management and used to evaluate a business. Together, these help to conduct fundamental analysis or calculate financial ratios, allowing investors to get a sense of how healthy the company is."
Banco Santander,"Banco Santander is an international bank that is part of the Spanish Santander banking group. It provides personal, business, corporate and commercial banking across Europe, Latin America, North America and Asia."
Bank Condition,"A bank condition is a random variable that predicts the likelihood of failure of a bank. However, the actual probability of failure is not made known to depositors."
Bank of America,Bank of America (BofA) is a multinational bank and financial services company. It is the world's largest wealth management organisation and the second-largest bank holding company of assets in the USA.
Bank of England,"The Bank of England is the central bank of the United Kingdom, responsible for monetary policy, financial stability, the issue of banknotes and the regulation of the country's largest financial institutions. Founded in 1694, it is one of the oldest central banks in the world."
Bank of Japan,"Bank of Japan (BoJ) is the central bank of Japan. But it's not an independent central bank like the Bank of England, the Federal Reserve and the European Central Bank . This mean it takes instruction from its government on monetary policy."
Bank Run,"This is when a large amount of customers withdraw cash from the same bank at the same time because of rumours of the bank’s instability. Despite the validity of these rumours, the chain reaction caused by so many withdrawals actually increases the bank’s likelihood of bankruptcy."
Bankable Funds,"The bankable funds definition refers to payment methods that are easily convertible into cash and accepted by major banks. To better understand the bankable funds meaning, it’s useful to know that companies typically require payment to be made in forms that banks can accept and redeem to avoid the risk of fraud or payment default."
Banking as a Service,Banking as a Service (BaaS) is also known as digital banking. It is a system that provides a start to finish banking service within a set time frame over the internet.
Bankruptcy Court,"Business owners sometimes file for bankruptcy to facilitate financial restructuring and reorganise their debts without having to lose their company. To simplify, you could end up in bankruptcy court if you can't afford to pay your debts. Let’s dive into the bankruptcy court meaning to learn more."
Bankruptcy Prediction,"This is an area of accounting and financial research that explores the ability to predict financial distress and bankruptcy in public firms. This has been analysed since 1932, when Paul J. FitzPatrick published his famous study in The Certified Public Accountant."
Bar Chart,"A bar chart or bar graph that presents data with rectangular bars proportional to the values they represent. In trading and technical analysis, however, the bar chart definition is different. Often referred to as the OHLC (open, high, low, close) bar chart, it illustrates price movements of a financial instrument over time."
Barbell strategy,"This strategy is formed when a trader invests in short and long duration bonds, but chooses not to invest in intermediate duration bonds. When interest rates are rising, this strategy is particularly helpful because when short term maturities are rolled over they possess a higher rate of interest."
Bárcenas affair,"It’s a scandal that took place in 2013. It was exposed that Luis Bárcenas, the treasurer and senator of Spain's People Party, had kept handwritten notes (the Bárcenas Papers) stating that the party had a separate bookkeeping system that was used to document undeclared, and illegal, cash donations."
Barclays Capital Aggregate Bond Index,This index is commonly used to track the performance of bond funds in the US. It tracks a wide range of fixed-income investments with maturity dates of more than a year. The index is a good gauge of the overall health of the fixed-income investments market.
Barclays PLC,"Barclays PLC is a multinational British financial services company and bank. Its headquarters are based at Canary Wharf in London, UK. It is a universal bank, which offers services in retail banking, wholesale banking and investment banking."
Barriers to Entry,"The obstacles that can get in the way of a new business entering a particular market sector. Some barriers to entry exist naturally, but others are put there deliberately by rival firms."
Barron's 400 Index,"It’s an even-handed Stock Market Index used to chart the performance of particular US public companies. It is rooted in the strength of financial statistics connected to cash flow, growth, market value and profitability."
Barry Rosenstein,Barry Rosenstein an American investor and hedge fund manager from New Jersey. He founded the hedge firm JANA Partners in 2001.
Base Metals,"Most investors will be familiar with investing in asset classes such as stocks, bonds, exchange-traded funds (ETFs) and cryptocurrencies. In order to define base metals, we first need to understand another type of asset class known as commodities."
Basel 4,Basel 4 is the nickname for a suggested standard on capital reserves for banks. This was created to to alleviate the risk of financial crisis.
Basel Accords,"These are regulations for banks set by a committee that meets in Basel, Switzerland. The first accord, Basel I, was agreed by the G10 group of major western economies after the 1970s banking crisis. Basel II and III were added later to strengthen its rules."
Basel Committee on Banking Supervision (BCBS),"The Basel Committee on Banking Supervision (BCBS) is the primary international standard for prudential regulation of banks. The committee runs a forum for regular cooperation on banking supervisory matters. The BCBS consists of 45 members, including bank supervisors and central banks from 28 jurisdictions."
Basel III,"Basel III is an international agreement on bank regulation that takes its name from the Swiss home town of the Bank for International Settlements (BIS), the organisation that has been described as the central bank for central banks. It sought to toughen regulatory requirements in the wake of the 2008 financial crisis."
Basic Earnings Per Share,Basic earnings per share (EPS) is a simplified valuation of the amount of a company’s profit that can be assigned to one share of that company’s stock. The formula is:
Basis Point,"Basis points, known as BPS, are a common unit of measurement for changes in financial percentages. A 0.01% change is the same as 1 basis point. A rather large 100% change is the same as 10,000 BPS."
Basis Risk,"In financial terms, basis risk means the risk associated with hedging. It happens because of the asset that is to be hedged's price and the difference of the asset serving as a hedge. There is a risk that the two investments could experience price changes in vastly different directions."
Basket of Goods,"In economics, the term basket of goods refers to a fixed set of consumer goods or services, the prices of which are used to measure a nation’s rate of inflation. The basket’s price and contents are evaluated on a regular basis, allowing governments to track inflation."
BB+ (credit rating),"A BB credit rating refers to a rating assigned by Standard & Poor's and Fitch credit agencies   to indicate creditworthiness of a bond-issuer,  such as a corporation or a government, and the likelihood of default on its bonds."
BBB (credit rating),"A lower-medium-grade credit rating given to a prospective borrower. Sometimes known as a BAA2 rating (given by S&P), a BBB score from Moody's, suggests a company or government has an adequate but not overly strong ability to meet all its financial commitments. Compared to those with higher ratings, companies with a BBB score are more vulnerable to adverse economic conditions."
Beachhead acquisition,It's when a company buys a business in another geographic market as a first point of access to that new market and a starting point for future growth. Essentially it is an acquisition that gives the buyer a foothold to expand into another market.
Bear call spread,"A bear call spread is a popular trading strategy among option traders. It represents a type of vertical spread, which means that it is traded with the help of two call options with the same expiry date."
Bear Market,"Looking for a bear market definition? Shares rise and fall all the time and it’s usually no big deal if (for a few days) a big market such as London, New York or Tokyo closes lower. But a bear market is something much more grizzly – a lengthy period when the price of shares overall keeps falling, and falling, and falling..."
Bear raid,"A strategy used on the stock market, where traders try to forcibly lower the price of a stock to cover the price of a short position. This is normally achieved by spreading negative rumours about the target company, which puts negative pressure on the share price."
Behavioural economics,"The behavioural economics definition refers to the study of psychology in its relation to the economic decision-making processes of consumers, investors and other economic agents. It is a relatively new field at the intersection of psychology and economics that was created to understand the effects of psychological, emotional, cognitive, social and cultural factors on the decisions of individuals and institutions in a variety of economic contexts."
Behavioural Finance,"The behavioural finance definition refers to a relatively new field in economics that looks at the role of emotions when making investment decisions. The field challenges the traditional approach, where investors are seen as always being rational and stock prices reflect all known information about the companies."
BEL 20 index,"The BEL 20 is a benchmark index of stocks that are traded on the Brussels Stock Exchange, now known as Euronext Brussels. It’s made up of the 20 largest and most actively traded stocks on the exchange."
Bell Fund,"The Bell Fund is a private Canadian fund that subsidises interactive digital content related to Canadian television programmes. Websites, webisodes, mobile apps and web games all qualify for funding from this fund."
Bellwether Stock,"There are a number of ways to approach trading on the stock market. Some develop technical skills to read the stock charts and take positions accordingly, while others take a more passive approach and invest in different stock market indices that track the movements of a specific industry."
Benchmark,"A benchmark is a standard by which something else can be measured or judged. The term originated when surveyors would chisel a mark in stone structures as a point of reference for builders. In investing, benchmarks can help investors work out the relative performance of securities or their investments."
Benchmark Indices,"If you want to know how well an investment has fared, a good method is to compare it with an appropriate benchmark. A benchmark index is a standard used to evaluate a fund’s performance over time. The FTSE All-Share is an example of a benchmark index."
Beneficial Ownership,This is legal terminology for when the legal title of a property belongs to one person and the property rights in equity belong to another individual. This often occurs when the legal title owner has given trustee duties to the beneficial possessor.
Beneish M-Score,A statistical model created by Professor Messod Beneish. It uses financial ratios determined with the accounting data of an individual company to check if the company’s reported earnings have been manipulated.
BEP-20 tokens,"The BEP-20 token standard extends ERC-20, the most common Ethereum token standard. It is used to represent a wide range of crypto assets on the Binance Smart Chain (BSC). In fact, the acronym BEP stands for Binance Smart Chain Evolution Proposal."
Berkshire Hathaway,"Berkshire Hathaway is an American holding company founded by Warren Buffett, who remains the largest single shareholder of the company. Buffett, referred to as the ‘Oracle of Omaha’ is one of the most prolific investors in history and is known as the pioneer of the “buy and hold” investment strategy due to his tremendous success as a value investor."
Bespoke portfolio (CDO),A bespoke portfolio is a group of reference securities serving as a reference portfolio for a synthetic CDO organised by an investment bank and specified by a certain investor. A bespoke portfolio is not a corporate credit index like CX or iTraxxx.
BET-10,"The Bucharest trading index, also known as the BET or the BET-10, is the most prominent and popular stock index for the Bucharest stock exchange, based in the capital city of Romania. It currently functions as the reference index for Romania’s capital markets."
Beta,Beta describes the volatility of an asset – such as shares or bonds – in relation to the general market. A share that is more volatile than the index of which it is part – for example the Standard & Poor's 500 – has a 'high beta'.
Betavexity,"Often used in the world of investment analysis, betavexity is the term used for a type of convexity – an important topic in economics based around the values of convex geometry. It is important to note that betavexity relates specifically to the beta coefficient of a long tailed investment."
Bias,"Bias in trading is a psychological phenomenon, in which an investor makes a decision based on their pre-conceived ideas of what will or won't work without considering the evidence. Bias may also manifest itself in retaining an asset for too long or otherwise behaving against their best interests."
